IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
ELIT100.1,ELIT100.1 Academic English and Effective Communication,Tue. 12:00-14:50,,B F2.4,,
ELIT100.2,ELIT100.2 Academic English and Effective Communication,Mon. 09:00-11:50,,B F2.4,,
ELIT100.3,ELIT100.3 Academic English and Effective Communication,Mon. 09:00-11:50,,B F1.9,,
ELIT100.4,ELIT100.4 Academic English and Effective Communication,Wed. 09:00-11:50,,B F1.9,,
ELIT100.5,ELIT100.5 Academic English and Effective Communication,Thu. 09:00-11:50,,B F2.4,,
ELIT100.6,ELIT100.6 Academic English and Effective Communication,Mon. 09:00-11:50,,B F1.8,,
ELIT100.7,ELIT100.7 Academic English and Effective Communication,Thu. 09:00-11:50,,B F2.6,,
ELIT103.1,ELIT103.1 Non-verbal Communication,Wed. 09:00-10:50,,A B.1 - VACD Multimedia Studio,,
ELIT103.2,ELIT103.2 Non-verbal Communication,Wed. 12:00-13:50,,A B.1 - VACD Multimedia Studio,,
ELIT200.1,ELIT200.1 Critical Reading and Writing,Thu. 09:00-11:50,,B F1.8,,
ELIT200.10,ELIT200.10 Critical Reading and Writing,Mon. 12:00-14:50,,B F2.6,,
ELIT200.11,ELIT200.11 Critical Reading and Writing,Wed. 12:00-14:50,,B F2.8,,
ELIT200.12,ELIT200.12 Critical Reading and Writing,Tue. 12:00-14:50,,A F1.25,,
ELIT200.13,ELIT200.13 Critical Reading and Writing,Mon. 12:00-14:50,,B F2.5,,
ELIT200.14,ELIT200.14 Critical Reading and Writing,Thu. 12:00-14:50,,B F2.6,,
ELIT200.2,ELIT200.2 Critical Reading and Writing,Mon. 15:00-17:50,,B F2.6,,
ELIT200.3,ELIT200.3 Critical Reading and Writing,Fri. 14:00-16:50,,B F2.2,,
ELIT200.4,ELIT200.4 Critical Reading and Writing,Thu. 10:00-12:50,,B F1.9,,
ELIT200.5,ELIT200.5 Critical Reading and Writing,Fri. 14:00-16:50,,B F1.9,,
ELIT200.6,ELIT200.6 Critical Reading and Writing,Mon. 14:00-16:50,,A F1.23,,
ELIT200.7,ELIT200.7 Critical Reading and Writing,Mon. 09:00-11:50,,B F2.6,,
ELIT200.8,ELIT200.8 Critical Reading and Writing,Tue. 09:00-11:50,,B F1.8,,
ELIT200.9,ELIT200.9 Critical Reading and Writing,Thu. 12:00-14:50,,B F2.4,,
ELIT201.1,ELIT201.1 Academic Writing,Wed. 12:00-14:50,,B F2.1,,
ELIT203.1,ELIT203.1 Survey of English Literature II,Mon. 12:00-14:50,,B F1.16,,
ELIT208.1,ELIT208.1 Classical Mythology,Tue. 09:00-11:50,,A F2.3,,
ELIT401.1,ELIT401.1 The Romantic Age,Fri. 14:00-16:50,,B F1.17,,
ELIT406.1,ELIT406.1 Contemporary Drama,Thu. 12:00-14:50,,A F1.23,,
ELIT413.1,ELIT413.1 Literary Theory and Criticism II,Thu. 09:00-11:50,,B F1.16,,
ELIT415.1,ELIT415.1 Shakespeare,Tue. 12:00-14:50,,B F1.8,,
ELT105.1,ELT105.1 Introduction to Linguistics,Mon. 09:00-11:50,,B F2.16,,
ELT212.1,ELT212.1 English Syntax,Tue. 12:00-14:50,,B F1.9,,
ELT322.1,ELT322.1 English Language Teaching Methodology,Tue. 15:00-17:50,,A F1.17,,
ELT323.1,ELT323.1 Early Foreign Language Learning,Wed. 15:00-17:50,,A F2.3,,
ELT370.1,ELT370.1 Work Placement/Internship,Wed. 12:00-13:50,Thu. 09:00-09:50,A F1.26,B F1.9,
ELT371.1,ELT371.1 Teaching Practice I,Wed. 12:00-13:50,Thu. 09:00-09:50,A F1.26,B F1.9,
ELT471.1,ELT471.1 Teaching Practice II,Wed. 12:00-13:50,Thu. 09:00-09:50,A F1.26,B F1.9,
ELT571.1,ELT571.1 Teaching Practice III,Wed. 12:00-13:50,Thu. 09:00-09:50,A F1.26,B F1.9,
ENS201.1,ENS201.1 Electromagnetism I,Thu. 09:00-11:50,,B F2.8,,
ENS203.1,ENS203.1 Electrical Circuits I,Tue. 09:00-11:50,,B F2.15 - Amphitheater II,,
ENS204.1,ENS204.1 Thermodynamics II,Mon. 09:00-11:50,,A F1.17,,
ENS206.1,ENS206.1 System Modelling and Control,Mon. 15:00-17:50,,A F1.11,,
ENS207-6.1,ENS207-6.1 Engineering Graphics,Fri. 09:00-09:50,,B F1.25 Computer Lab,,
ENS209-3/6.1,ENS209-3/6.1 Statics,Tue. 17:00-19:50,,B F2.16,,
ENS211.1,ENS211.1 Signals and Systems,Tue. 17:00-19:50,,B F1.22,,
ENS309.1,ENS309.1 Ethics in Engineering and Natural Sciences,Mon. 12:00-14:50,,A F2.14 - Amphitheater II,,
IBF105.1,IBF105.1 Financial Literacy,Mon. 16:00-17:50,,B F1.9,,
IBF205.1,IBF205.1 Principles of International Business,Wed. 11:00-13:50,,B F2.5,,
IBF205.2,IBF205.2 Principles of International Business,Wed. 11:00-13:50,,B F1.8,,
IBF208.1,IBF208.1 Business Finance,Mon. 09:00-11:50,,B F2.1,,
IBF208.2,IBF208.2 Business Finance,Mon. 15:00-17:50,,B F2.8,,
IBF310.1,IBF310.1 Business Ethics,Wed. 09:00-11:50,,B F1.17,,
IBF401.1,IBF401.1 International Finance,Mon. 12:00-14:50,,B F2.1,,
IBF407.1,IBF407.1 Special Topics in Finance,Thu. 15:00-17:50,,B F1.1 FBA Graduate Seminar Room,,
IBF409.1,IBF409.1 Investment and Portfolio Management,Wed. 12:00-14:50,,B F1.22,,
IBF410.1,IBF410.1 Real Estate Markets,Wed. 15:00-17:50,,B F2.17,,
IE303.1,IE303.1 Operations Research I,Thu. 13:00-15:50,,B F1.23 - Amphitheater I,,
IE305.1,IE305.1 Work Analysis and Design,Thu. 13:00-14:50,,B F2.1,,
IE307.1,IE307.1 Quality and Reliability Engineering,Tue. 15:00-17:50,,B F1.9,,
IE425.1,IE425.1 Computer Aided Design and Manufacturing,Mon. 12:00-14:50,,A F1.18 - Computer Lab,,
IR100.1,IR100.1 Understanding the Contemporary World through Curre,Thu. 13:00-14:50,,B F2.15 - Amphitheater II,,
IR101.1,IR101.1 Introduction to International Relations,Wed. 14:00-16:50,,B F2.15 - Amphitheater II,,
IR212.1,IR212.1 Politics in Europe,Tue. 12:00-14:50,,B F1.22,,
IR213.1,IR213.1 International Issues in the Balkans,Mon. 15:00-17:50,,B F1.1,,
IR214.1,IR214.1 International Law,Wed. 12:00-14:50,,B F1.1,,
IR216.1,IR216.1 Foreign Policy Analysis,Mon. 12:00-14:50,,A F1.11,,
IR304.1,IR304.1 Security Studies,Mon. 12:00-14:50,,B F1.8,,
IR305.1,IR305.1 International Organisations,Thu. 13:00-15:50,,B F1.8,,
IR467.1,IR467.1 Energy Security,Thu. 09:00-11:50,,B F1.17,,
IR472.1,IR472.1 Human Rights,Tue. 12:00-14:50,,B F2.1,,
IR478.1,IR478.1 Islam in World Politics,Tue. 09:00-11:50,,A F1.11,,
ITA101.1,ITA101.1 Spoken Italian I,Wed. 09:00-11:50,,B F2.14,,
ITA102.1,ITA102.1 Spoken Italian II,Fri. 10:00-12:50,,A F2.13,,
LAW104.1,LAW104.1 Civil Law II,Tue. 09:00-11:50,,A F1.26,,
LAW106.1,LAW106.1 Roman Law,Fri. 09:00-11:50,,A F2.3,,
LAW118.1,LAW118.1 Constitutional Law II,Tue. 12:00-15:50,,A F2.3,,
LAW120.1,LAW120.1 Introduction to Law II,Thu. 09:00-11:50,,A F1.17,,
LAW202.1,LAW202.1 Administrative Law II,Wed. 17:00-19:50,,A F2.13,,
LAW204.1,LAW204.1 Contract Law II,Thu. 15:00-18:50,,A F1.10,,
LAW206.1,LAW206.1 Criminal Law II,Tue. 12:00-14:50,,A F1.23,,
LAW210.1,LAW210.1 Business Law,Tue. 17:00-20:50,,B F1.23 - Amphitheater I,,
LAW218.1,LAW218.1 Legal Writing and Drafting,Wed. 09:00-11:50,,B F2.17,,
LAW242.1,LAW242.1 Law and Literature,Thu. 12:00-14:50,,A F1.26,,
LAW302.1,LAW302.1 Property Law II,Fri. 09:00-11:50,,A F1.11,,
LAW310.1,LAW310.1 Intellectual Property Law,Mon. 09:00-12:50,,A F1.25,,
LAW316.1,LAW316.1 Insurance and Social Security Law,Wed. 12:00-15:50,,A F2.15,,
LAW333.1,LAW333.1 Tort Law,Thu. 09:00-11:50,,A F1.26,,
LAW402.1,LAW402.1 Commercial Law II,Tue. 15:00-17:50,,A F1.10,,
LAW406.1,LAW406.1 Execution and Bankruptcy Law,Fri. 14:00-17:50,,A F1.17,,
LAW408.1,LAW408.1 Criminal Procedure Law II,Tue. 09:00-11:50,,B F1.17,,
LAW416.1,LAW416.1 Inheritance Law,Mon. 15:00-18:50,,A F2.13,,
